Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2806,308,44000.0,41719.93457683314,208.02679499956866,79322.19318199987,8794.63435495367,34.8224773991007,3.82228190980863,44000,55000,58000,60000,64000,72000,78000,78000,79000,79000,79000
GET,/cart,264,0,19000.0,19253.136807935607,1179.863978000867,46258.755530999224,6579.181818181818,3.2762416369788254,0.0,19000,24000,28000,29000,33000,35000,39000,44000,46000,46000,46000
POST,/cart,67,0,30000.0,32155.401100223906,5680.749721999746,55341.15497499988,16070.313432835821,0.8314704154453838,0.0,30000,40000,44000,47000,53000,55000,55000,55000,55000,55000,55000
POST,/cart/checkout,8,0,19000.0,21066.103119250216,5677.523405000102,31620.786447000683,6394.5,0.09928004960541896,0.0,22000,29000,30000,30000,32000,32000,32000,32000,32000,32000,32000
GET,/product/0PUK6V6EV0,151,0,22000.0,21300.54443100665,483.48958200040215,50460.38699200017,7471.496688741722,1.8739109363022828,0.0,22000,28000,30000,31000,34000,38000,41000,43000,50000,50000,50000
GET,/product/1YMWWN1N4O,165,0,19000.0,19231.855525448518,506.02232799974445,43562.573811999755,7512.084848484848,2.047651023111766,0.0,19000,25000,27000,29000,33000,35000,40000,43000,44000,44000,44000
GET,/product/2ZYFJ3GM2N,151,0,21000.0,20813.774317788102,501.39115399997536,48427.96610500045,7485.609271523179,1.8739109363022828,0.0,21000,25000,29000,30000,33000,41000,43000,48000,48000,48000,48000
GET,/product/66VCHSJNUP,125,0,20000.0,20532.717984864008,501.7418269999325,52541.48506599995,7459.136,1.5512507750846711,0.0,20000,25000,27000,30000,33000,37000,47000,51000,53000,53000,53000
GET,/product/6E92ZMYYFZ,141,0,20000.0,20784.833198815617,993.9890850000666,48317.75813600052,7458.347517730496,1.7498108742955092,0.0,20000,27000,30000,32000,35000,40000,44000,45000,48000,48000,48000
GET,/product/9SIQT8TOJO,152,0,20000.0,20280.55716165131,204.5787309998559,52893.316056,7516.578947368421,1.8863209425029601,0.0,21000,26000,29000,30000,33000,36000,42000,50000,53000,53000,53000
GET,/product/L9ECAV7KIM,135,0,20000.0,20480.130221963,2918.954866000604,53301.58220599969,7480.777777777777,1.675350837091445,0.0,20000,27000,29000,30000,34000,36000,43000,43000,53000,53000,53000
GET,/product/LS4PSXUNUM,135,0,19000.0,18541.97903931107,812.1234989994264,38635.57409399982,7488.57037037037,1.675350837091445,0.0,19000,25000,27000,28000,30000,33000,36000,36000,39000,39000,39000
GET,/product/OLJCESPC7Z,144,0,18000.0,18427.348207638934,2919.183105999764,44185.06160600009,7526.0,1.7870408928975412,0.0,18000,23000,25000,28000,32000,33000,39000,43000,44000,44000,44000
POST,/setCurrency,91,0,34000.0,30100.844559219833,5809.8883009997735,57399.95548099978,9892.527472527472,1.1293105642616406,0.0,34000,39000,42000,44000,47000,53000,57000,57000,57000,57000,57000
,Aggregated,4535,308,30000.0,33791.624960550835,204.5787309998559,79322.19318199987,8417.17684674752,56.27937812007187,3.82228190980863,30000,42000,50000,56000,62000,69000,75000,78000,79000,79000,79000
