Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3633,990,50000.0,45525.555102708524,206.63155199872563,78279.91221399861,7210.273052573631,45.54479973677945,12.411051951393244,50000,57000,58000,63000,67000,72000,77000,77000,78000,78000,78000
GET,/cart,325,0,21000.0,19994.936450415407,649.881983998057,43699.34547199955,6633.347692307692,4.074335236568489,0.0,21000,24000,26000,30000,34000,36000,39000,40000,44000,44000,44000
POST,/cart,73,0,33000.0,31568.092232068364,2673.840379000467,54530.18446100032,16085.890410958904,0.9151583762138452,0.0,33000,40000,42000,44000,48000,52000,54000,55000,55000,55000,55000
POST,/cart/checkout,6,0,17000.0,20269.73835866617,9352.193711001746,30196.7213229982,6404.833333333333,0.07521849667511057,0.0,23000,23000,26000,26000,30000,30000,30000,30000,30000,30000,30000
GET,/product/0PUK6V6EV0,154,0,23000.0,21081.97295651926,414.0463740004634,47125.49858299826,7499.12987012987,1.930608081327838,0.0,23000,27000,29000,31000,34000,36000,38000,39000,47000,47000,47000
GET,/product/1YMWWN1N4O,146,0,21000.0,20058.425372582125,1194.2505669976526,41538.138149997394,7542.86301369863,1.8303167524276904,0.0,21000,25000,29000,30000,33000,35000,39000,41000,42000,42000,42000
GET,/product/2ZYFJ3GM2N,163,0,20000.0,20102.769928533704,647.5186950010539,41731.73152399977,7515.938650306748,2.0434358263405037,0.0,20000,24000,28000,31000,34000,37000,38000,40000,42000,42000,42000
GET,/product/66VCHSJNUP,172,0,20000.0,19687.079066726714,461.7757609994442,41686.96829599867,7485.191860465116,2.1562635713531697,0.0,20000,24000,28000,30000,33000,35000,37000,41000,42000,42000,42000
GET,/product/6E92ZMYYFZ,160,0,22000.0,20825.138582693697,874.5049979988835,41497.01456100229,7494.4875,2.0058265780029485,0.0,22000,25000,29000,31000,35000,37000,39000,41000,41000,41000,41000
GET,/product/9SIQT8TOJO,168,0,22000.0,20327.701257458342,299.516743998538,41494.05859900071,7544.047619047619,2.106117906903096,0.0,22000,25000,28000,30000,33000,36000,39000,41000,41000,41000,41000
GET,/product/L9ECAV7KIM,169,0,21000.0,20138.63411460354,642.115635000664,39695.48714200209,7516.218934911242,2.1186543230156145,0.0,21000,26000,30000,31000,33000,36000,39000,39000,40000,40000,40000
GET,/product/LS4PSXUNUM,144,0,20000.0,20483.790577083364,764.5487830013735,41486.27478900016,7510.395833333333,1.8052439202026536,0.0,20000,25000,28000,30000,33000,35000,40000,41000,41000,41000,41000
GET,/product/OLJCESPC7Z,168,0,20000.0,19680.763884559445,409.37999899688293,40564.13315399914,7544.023809523809,2.106117906903096,0.0,21000,25000,29000,30000,34000,37000,39000,40000,41000,41000,41000
POST,/setCurrency,130,0,34000.0,32867.53482488473,3314.226325001073,63610.51186700206,9924.738461538462,1.6297340946273957,0.0,34000,41000,43000,43000,51000,55000,58000,58000,64000,64000,64000
,Aggregated,5611,990,35000.0,37040.84603242556,206.63155199872563,78279.91221399861,7433.25646052397,70.3418308073409,12.411051951393244,35000,49000,54000,58000,65000,69000,75000,77000,77000,78000,78000
